가감	ㄱㅏㄱㅏㅁ	더하거나 뺌.
담수	ㄷㅏㅁㅅㅜ	강이나 호수의 물처럼 소금기가 없는 물.
담요	ㄷㅏㅁㅇㅛ	털 등으로 짜서 덮거나 깔도록 만든 얇은 이불.
답보	ㄷㅏㅂㅂㅗ	상태가 더 나아가지 못하고 계속 그 자리에 있음. 또는 그런 상태.
답사	ㄷㅏㅂㅅㅏ	식장에서 축사, 환영사, 환송사 등에 답하여 하는 말.
답지	ㄷㅏㅂㅈㅣ	문제에 대한 답을 쓴 종이.
당구	ㄷㅏㅇㄱㅜ	네모난 대 위에 공을 놓고 긴 막대기로 쳐서 맞히는 것으로 이기고 지는 것을 가리는 실내 놀이.
당뇨	ㄷㅏㅇㄴㅛ	오줌에 당분이 비정상적으로 많이 섞여 나오는 병.
당도	ㄷㅏㅇㄷㅗ	음식물의 단맛의 정도.
당류	ㄷㅏㅇㄹㅠ	포도당, 과당, 전분 등 물에 잘 녹으며 단맛이 있는 탄수화물.
당부	ㄷㅏㅇㅂㅜ	꼭 해 줄 것을 말로 단단히 부탁함. 또는 그런 부탁.
당사	ㄷㅏㅇㅅㅏ	이 회사.
당시	ㄷㅏㅇㅅㅣ	어떤 일이 일어나던 그 시기. 또는 앞에서 말한 그 시기.
당초	ㄷㅏㅇㅊㅗ	일의 제일 처음.
당파	ㄷㅏㅇㅍㅏ	정치적 목적이나 주장이 같은 사람들이 모여서 이룬 단체.
대가	ㄷㅏㅣㄱㅏ	전문 분야에서 능력이 뛰어나 권위를 인정받는 사람.
대거	ㄷㅏㅣㄱㅓ	한꺼번에 많은 수.
대교	ㄷㅏㅣㄱㅛ	큰 다리.
대구	ㄷㅏㅣㄱㅜ	엷은 회갈색에 배는 흰색이고 입이 크며 비늘이 작고 둥근 바닷물고기.
대기	ㄷㅏㅣㄱㅣ	지구를 둘러싸고 있는 모든 공기.
대도	ㄷㅏㅣㄷㅗ	값비싼 물건이나 큰돈을 훔치는 도둑.
대두	ㄷㅏㅣㄷㅜ	두유, 두부 등의 재료로, 노란색 또는 검은색의 얇은 껍질에 쌓인 동그란 모양의 곡식.
대로	ㄷㅏㅣㄹㅗ	크고 넓은 길.
대리	ㄷㅏㅣㄹㅣ	다른 사람을 대신하여 일을 처리함.
대모	ㄷㅏㅣㅁㅗ	어머니의 역할을 대신해 주는 여자.
대미	ㄷㅏㅣㅁㅣ	중요한 일의 맨 마지막.
대부	ㄷㅏㅣㅂㅜ	매우 부유한 부자.
대비	ㄷㅏㅣㅂㅣ	두 가지의 차이를 알아보기 위해 서로 비교함. 또는 그런 비교.
대사	ㄷㅏㅣㅅㅏ	다루는 데 힘이 많이 들고 중요한 일.
대서	ㄷㅏㅣㅅㅓ	일 년 중 가장 무덥다는 날로 이십사절기의 하나. 7월 24일경이다.
대소	ㄷㅏㅣㅅㅗ	크거나 작은 것을 함께 이르는 말.
대수	ㄷㅏㅣㅅㅜ	중요한 것. 또는 대단한 것.
대시	ㄷㅏㅣㅅㅣ	이미 말한 내용을 다른 말로 설명을 덧붙이거나 보충할 때에 쓰는 문장 부호 ‘―’의 이름.
대야	ㄷㅏㅣㅇㅑ	주로 세수할 때 물을 담아 쓰는 둥글고 넓적한 그릇.
대어	ㄷㅏㅣㅇㅓ	큰 물고기.
대여	ㄷㅏㅣㅇㅕ	물건이나 돈을 빌려줌.
대오	ㄷㅏㅣㅇㅗ	크게 깨달음.
대우	ㄷㅏㅣㅇㅜ	사람을 대하거나 다루는 일정한 태도나 방식.
대자	ㄷㅏㅣㅈㅏ	팔과 다리를 양쪽으로 크게 뻗은 모습.
대조	ㄷㅏㅣㅈㅗ	둘 이상의 것을 맞대어 같고 다름을 살펴봄.
대지	ㄷㅏㅣㅈㅣ	대자연의 넓은 땅.
대처	ㄷㅏㅣㅊㅓ	어떤 어려운 일이나 상황을 이겨 내기에 알맞게 행동함.
대추	ㄷㅏㅣㅊㅜ	맛이 달고 익으면 껍질이 붉어지는, 작은 새알 같이 생긴 열매.
대치	ㄷㅏㅣㅊㅣ	다른 것으로 바꾸어 놓음.
대타	ㄷㅏㅣㅌㅏ	야구에서 원래 정해져 있던 타자를 대신해서 공을 치는 사람.
대파	ㄷㅏㅣㅍㅏ	줄기가 길고 굵은 파.
대포	ㄷㅏㅣㅍㅗ	별 안주 없이 큰 그릇에 따라 마시는 술.
대표	ㄷㅏㅣㅍㅛ	전체의 상태나 특징을 어느 하나로 잘 나타냄. 또는 그런 것.
대피	ㄷㅏㅣㅍㅣ	위험을 피해 잠깐 안전한 곳으로 감.
더덕	ㄷㅓㄷㅓㄱ	독특한 향기와 맛이 있어 식재료나 약재로 사용되는, 산이나 들에서 나는 식물의 뿌리.
더블	ㄷㅓㅂㅡㄹ	두 배. 두 겹.
더빙	ㄷㅓㅂㅣㅇ	외국 영화의 대사를 해당 언어로 바꾸어 성우의 목소리로 다시 녹음하는 일.
더위	ㄷㅓㅇㅜㅣ	여름철의 더운 기운. 더운 날씨.
덜미	ㄷㅓㄹㅁㅣ	목의 뒤쪽 부분.
덧니	ㄷㅓㅅㄴㅣ	다른 이 위에 겹쳐 나서 앞으로 조금 나가 있는 이.
덩이	ㄷㅓㅇㅇㅣ	같은 물질이 작게 뭉쳐서 이루어진 것.
덩치	ㄷㅓㅇㅊㅣ	몸의 크기나 부피.
데모	ㄷㅓㅣㅁㅗ	어떤 의견을 널리 알리기 위해 여러 사람이 한데 모여 구호를 외치거나 집단적으로 행동함.
도감	ㄷㅗㄱㅏㅁ	그림이나 사진을 모아 실물 대신 볼 수 있도록 엮은 책.
도강	ㄷㅗㄱㅏㅇ	대학에서 강의를 신청하지 않고 몰래 들음.
도공	ㄷㅗㄱㅗㅇ	흙을 빚어 그릇이나 도자기를 만드는 일을 직업으로 하는 사람.
도굴	ㄷㅗㄱㅜㄹ	광물이나 무덤 속의 유물을 불법적으로 몰래 파내는 짓.
도금	ㄷㅗㄱㅡㅁ	물체의 겉에 금이나 은과 같은 금속을 얇게 입힘.
도급	ㄷㅗㄱㅡㅂ	일정한 기간이나 시간 안에 끝내야 할 양의 일을 한꺼번에 맡거나 맡김. 또는 그렇게 맡거나 맡긴 일.
도끼	ㄷㅗㄱㄱㅣ	굵은 나무를 찍거나 장작을 패는 데 쓰는 연장.
도난	ㄷㅗㄴㅏㄴ	도둑을 맞음.
도넛	ㄷㅗㄴㅓㅅ	밀가루를 반죽하여 고리 모양으로 만들어 기름에 튀긴 과자.
도농	ㄷㅗㄴㅗㅇ	도시와 농촌.
도달	ㄷㅗㄷㅏㄹ	목적한 곳이나 일정한 수준에 다다름.
도덕	ㄷㅗㄷㅓㄱ	한 사회의 사람들이 말, 행동, 믿음의 좋고 나쁨을 판단하는 정신적 기준이나 가치 체계.
도둑	ㄷㅗㄷㅜㄱ	남의 물건을 훔치거나 빼앗는 짓.
도랑	ㄷㅗㄹㅏㅇ	폭이 좁고 작은 개울.
도래	ㄷㅗㄹㅏㅣ	어떤 시기나 기회가 옴.
도량	ㄷㅗㄹㅑㅇ	너그럽게 받아들이고 깊게 이해할 수 있는 마음과 생각.
도령	ㄷㅗㄹㅕㅇ	(대접하는 말로) 결혼하지 않은 성인 남자.
도록	ㄷㅗㄹㅗㄱ	그림 또는 사진을 모아 만든 책.
도륙	ㄷㅗㄹㅠㄱ	사람 또는 동물을 함부로 잔인하게 죽임.
도립	ㄷㅗㄹㅣㅂ	공공의 이익을 위하여 도의 예산으로 설립하고 관리함.
도막	ㄷㅗㅁㅏㄱ	짧고 작은 덩어리.
도망	ㄷㅗㅁㅏㅇ	피하거나 쫓기어 달아남.
도매	ㄷㅗㅁㅏㅣ	물건을 낱개로 사지 않고 여러 개를 한꺼번에 사는 것.
도면	ㄷㅗㅁㅕㄴ	토목, 건축, 기계 등의 구조나 설계 등을 나타낸 그림.
도민	ㄷㅗㅁㅣㄴ	행정 구역상으로 같은 도 안에 사는 사람.
도박	ㄷㅗㅂㅏㄱ	돈 또는 재물을 걸고 화투, 트럼프, 마작 등으로 내기를 함.
도발	ㄷㅗㅂㅏㄹ	상대를 자극해 어떤 일이 일어나게 함.
도배	ㄷㅗㅂㅏㅣ	색깔과 무늬가 있는 종이를 벽이나 천장에 붙이는 일.
도벽	ㄷㅗㅂㅕㄱ	남의 물건을 훔치는 버릇.
도복	ㄷㅗㅂㅗㄱ	유도, 태권도 등의 운동을 할 때 입는 옷.
도산	ㄷㅗㅅㅏㄴ	기업이나 회사 등이 운영을 계속할 돈이 없어 망함.
도살	ㄷㅗㅅㅏㄹ	사람을 마구 죽임.
도성	ㄷㅗㅅㅓㅇ	성으로 이루어진 한 나라의 수도. 서울.
도술	ㄷㅗㅅㅜㄹ	도를 닦아서 얻게 된 능력으로 부리는 기이한 기술.
도식	ㄷㅗㅅㅣㄱ	어떤 것의 구조나 상태, 관계 등을 쉽게 보이기 위하여 나타낸 표나 그림.
도심	ㄷㅗㅅㅣㅁ	도시의 중심.
도안	ㄷㅗㅇㅏㄴ	미술 작품을 만들 때의 모양, 색채, 배치 등에 관한 계획을 그림으로 나타낸 것.
도약	ㄷㅗㅇㅑㄱ	몸을 공중으로 날려 힘차게 뛰어오름.
도열	ㄷㅗㅇㅕㄹ	여러 사람이 길게 줄지어 섬. 또는 그런 행렬.
도예	ㄷㅗㅇㅕㅣ	‘도자기 공예’를 줄여 이르는 말.
도용	ㄷㅗㅇㅛㅇ	남의 것을 허락 없이 몰래 씀.
도움	ㄷㅗㅇㅜㅁ	다른 사람을 돕는 일.
도읍	ㄷㅗㅇㅡㅂ	한 나라의 중앙 정부가 있는 곳.
도의	ㄷㅗㅇㅡㅣ	사람이 지키고 따라야 할 도덕적 원칙.
도인	ㄷㅗㅇㅣㄴ	도를 닦아 큰 이치를 깨달은 사람.
도입	ㄷㅗㅇㅣㅂ	지식, 기술, 물자 등을 들여옴.
도장	ㄷㅗㅈㅏㅇ	무예를 연습하거나 가르치는 곳.
도적	ㄷㅗㅈㅓㄱ	남의 물건을 훔치거나 빼앗는 짓을 하는 사람.
도전	ㄷㅗㅈㅓㄴ	정면으로 맞서서 싸움을 걺.
도정	ㄷㅗㅈㅓㅇ	지방 자치 단체인 도의 행정.
도제	ㄷㅗㅈㅓㅣ	선생이나 스승에게 무엇을 배우는 사람.
도중	ㄷㅗㅈㅜㅇ	길을 가는 중간.
도착	ㄷㅗㅊㅏㄱ	목적지에 다다름.
도청	ㄷㅗㅊㅓㅇ	남이 하는 이야기, 전화 통화 내용 등을 몰래 엿듣거나 녹음하는 일.
도체	ㄷㅗㅊㅓㅣ	열이나 전기 등이 잘 통하는 물체.
도출	ㄷㅗㅊㅜㄹ	어떤 일에 대한 생각, 결론, 판단 등을 이끌어 냄.
도취	ㄷㅗㅊㅜㅣ	술을 마시고 적당히 기분이 좋게 취함.
도탄	ㄷㅗㅌㅏㄴ	몹시 어렵고 고통스러운 상황이나 생활.
도태	ㄷㅗㅌㅏㅣ	여럿 가운데에서 필요 없거나 적당하지 않다고 여겨지는 것들을 없앰.
도합	ㄷㅗㅎㅏㅂ	모두 합한 셈.
도해	ㄷㅗㅎㅏㅣ	글의 내용을 그림으로 풀이한 설명. 또는 그렇게 한 그림.
도형	ㄷㅗㅎㅕㅇ	그림의 모양이나 형태.
도회	ㄷㅗㅎㅗㅣ	사람이 많이 살고 상공업이 발달한 번화한 지역.
독기	ㄷㅗㄱㄱㅣ	독의 기운.
독도	ㄷㅗㄱㄷㅗ	울릉도 남동쪽에 있는 화산섬. 한국에서 가장 동쪽에 있는 섬으로 거의 암석으로 이루어져 있으며 주변 바다에는 수산 자원이 풍부하다.
독려	ㄷㅗㄱㄹㅕ	일이 잘못되지 않도록 살피며 격려함.
독사	ㄷㅗㄱㅅㅏ	이빨에 독이 있는 뱀.
독서	ㄷㅗㄱㅅㅓ	책을 읽음.
독소	ㄷㅗㄱㅅㅗ	독성이 있는 요소나 물질.
독어	ㄷㅗㄱㅇㅓ	주로 독일과 오스트리아 사람들이 쓰는 언어.
독자	ㄷㅗㄱㅈㅏ	다른 자식이 없이 단 하나뿐인 아들.
독주	ㄷㅗㄱㅈㅜ	매우 독한 술.
독지	ㄷㅗㄱㅈㅣ	남을 돕고 위하는 마음.
독초	ㄷㅗㄱㅊㅗ	독이 들어 있는 풀.
돌기	ㄷㅗㄹㄱㅣ	피부나 사물의 표면에 볼록하게 튀어나온 부분.
돌파	ㄷㅗㄹㅍㅏ	적진이나 상대의 수비를 뚫고 들어감.
동거	ㄷㅗㅇㄱㅓ	같은 집이나 같은 방에서 함께 삶.
동기	ㄷㅗㅇㄱㅣ	형제와 자매, 남매.
동료	ㄷㅗㅇㄹㅛ	직장에서 함께 일하는 사람.
동류	ㄷㅗㅇㄹㅠ	같은 종류나 부류.
동리	ㄷㅗㅇㄹㅣ	시골의 마을이나 동네.
동무	ㄷㅗㅇㅁㅜ	친하게 어울리는 사람.
동부	ㄷㅗㅇㅂㅜ	어떤 지역의 동쪽 부분.
동사	ㄷㅗㅇㅅㅏ	추위에 얼어 죽음.
동서	ㄷㅗㅇㅅㅓ	남편의 형의 아내.
동시	ㄷㅗㅇㅅㅣ	같은 때.
동요	ㄷㅗㅇㅇㅛ	물체가 이리저리 흔들림.
동이	ㄷㅗㅇㅇㅣ	물 긷는 데 쓰며 모양이 둥글고 입구가 넓고 양 옆에 손잡이가 달린 질그릇.
동조	ㄷㅗㅇㅈㅗ	다른 사람의 말이나 생각, 주장 등을 옳게 여겨 따름.
동지	ㄷㅗㅇㅈㅣ	일 년 중 밤이 가장 긴 날로 이십사절기의 하나. 12월 22일경이다. 귀신을 쫓기 위해 붉은 팥으로 죽을 쑤어 먹고 문이나 벽에 팥죽을 조금씩 뿌리는 풍습이 있다.
동토	ㄷㅗㅇㅌㅗ	얼어붙은 땅.
동파	ㄷㅗㅇㅍㅏ	얼어서 터짐.
동포	ㄷㅗㅇㅍㅗ	같은 나라나 민족에 속하는 사람.
두각	ㄷㅜㄱㅏㄱ	뛰어난 재주나 기술, 지식.
두건	ㄷㅜㄱㅓㄴ	헝겊이나 천 등으로 만든 머리에 쓰는 물건.
두뇌	ㄷㅜㄴㅗㅣ	사람이나 동물의 신경을 다스리는 머릿속에 있는 기관.
두둑	ㄷㅜㄷㅜㄱ	두 논이나 밭 사이의 경계를 이루는 작은 둑이나 언덕.
두둔	ㄷㅜㄷㅜㄴ	편들어 주거나 잘못을 감싸 줌.
두렁	ㄷㅜㄹㅓㅇ	두 논이나 밭 사이의 경계를 이루는 낮은 둑이나 언덕.
두레	ㄷㅜㄹㅓㅣ	농촌에서 농사일이 바쁠 때에 서로 도와서 공동으로 일을 하기 위해 만든 조직.
두령	ㄷㅜㄹㅕㅇ	주로 도둑의 무리와 같은 불법적인 단체의 우두머리.
두름	ㄷㅜㄹㅡㅁ	생선 스무 마리를 열 마리씩 두 줄로 묶어 놓은 것.
두말	ㄷㅜㅁㅏㄹ	처음에 했던 말과는 다른 내용의 말.
두메	ㄷㅜㅁㅓㅣ	도시에서 멀리 떨어져 개발이 되지 않고 사람이 많이 살지 않는 산골.
두목	ㄷㅜㅁㅗㄱ	도둑의 무리와 같이 좋지 못한 무리의 우두머리.
두발	ㄷㅜㅂㅏㄹ	머리에 난 털.
두상	ㄷㅜㅅㅏㅇ	머리 모양.
두엄	ㄷㅜㅇㅓㅁ	풀, 짚 또는 가축의 똥과 오줌 등을 썩힌 거름.
두절	ㄷㅜㅈㅓㄹ	교통이나 통신 등의 연결이 막히거나 끊어짐.
두통	ㄷㅜㅌㅗㅇ	머리가 아픈 증세.
둔부	ㄷㅜㄴㅂㅜ	뒤쪽 허리 아래에서 양쪽 허벅지로 이어지는, 둥글고 살이 많은 부분.
둔치	ㄷㅜㄴㅊㅣ	물가 또는 물가의 언덕.
둥지	ㄷㅜㅇㅈㅣ	새가 알을 낳거나 살기 위해 풀, 나뭇가지 등을 엮어 만든 둥근 모양의 집.
둥치	ㄷㅜㅇㅊㅣ	큰 나무의 줄기와 뿌리가 만나는 부분.
뒤주	ㄷㅜㅣㅈㅜ	쌀, 보리, 콩 등의 곡식을 담아 두는 데 쓰는 네모나고 큰 나무 상자.
드럼	ㄷㅡㄹㅓㅁ	기름 등을 담을 때 쓰는 두꺼운 철판으로 만든 원기둥 모양의 통.
드릴	ㄷㅡㄹㅣㄹ	나무나 금속에 구멍을 뚫는 도구.
득도	ㄷㅡㄱㄷㅗ	진리나 도를 깨달음.
득표	ㄷㅡㄱㅍㅛ	투표에서 찬성표를 얻음. 또는 얻은 찬성표.
듣기	ㄷㅡㄷㄱㅣ	남의 말을 올바르게 알아듣고 이해하는 일.
들소	ㄷㅡㄹㅅㅗ	산이나 들에서 나서 자란 소.
등가	ㄷㅡㅇㄱㅏ	비교 대상이 되는 두 개의 사물 또는 일의 값이나 가치가 같음. 또는 그런 값이나 가치.
등교	ㄷㅡㅇㄱㅛ	학생이 학교에 감.
등기	ㄷㅡㅇㄱㅣ	땅이나 집 같은 부동산에 대한 권리 관계를 법정 절차에 따라 등기부에 기록하는 일. 또는 그런 기록.
등수	ㄷㅡㅇㅅㅜ	등급에 따라 정한 차례를 나타내는 숫자.
등유	ㄷㅡㅇㅇㅠ	등불을 켜거나 난로를 피우는 데 쓰는, 원유를 증류하여 얻는 기름.
등호	ㄷㅡㅇㅎㅗ	수학에서, 두 식 또는 두 수가 같음을 나타내는 부호.
디귿	ㄷㅣㄱㅡㄷ	한글 자모 ‘ㄷ’의 이름.
딜러	ㄷㅣㄹㄹㅓ	유통 단계에서 상품을 한 번에 많이 사들이고 다시 파는 일을 하는 사람.
땜	ㄷㄷㅏㅣㅁ	구멍이나 틈이 생긴 곳을 다른 것으로 대어 막음.
땡	ㄷㄷㅏㅣㅇ	화투에서, 같은 짝 두 장으로 이루어진 패.
라면	ㄹㅏㅁㅕㄴ	기름에 튀겨 말린 국수와 가루 스프가 들어 있어서 물에 끓이기만 하면 간편하게 먹을 수 있는 음식.
라인	ㄹㅏㅇㅣㄴ	가로나 세로로 그은 금이나 줄. 또는 어떤 물건의 윤곽.
럭비	ㄹㅓㄱㅂㅣ	15명이 한 팀이 되어 길쭉한 공을 손에 들거나 발로 차면서 상대편의 골에 넣어 점수를 얻는 경기.
레저	ㄹㅓㅣㅈㅓ	일이나 공부를 하지 않아도 되는 자유롭고 한가한 때. 또는 그 시간을 이용하여 편안하게 노는 일.
로봇	ㄹㅗㅂㅗㅅ	사람의 전체 모습이나 몸의 한 부위와 비슷하게 만들어서 사람이 하는 행동이나 작업 등을 할 수 있도록 만든 기계.
로션	ㄹㅗㅅㅕㄴ	피부를 부드럽고 촉촉하게 하기 위해 바르는, 걸쭉한 액체 상태의 화장품.
롤러	ㄹㅗㄹㄹㅓ	금속재의 두께를 줄이거나 평평하게 하는 데 쓰는 원통형 기구.
리듬	ㄹㅣㄷㅡㅁ	소리의 높낮이, 길이, 세기 등이 일정하게 반복되는 것.
리본	ㄹㅣㅂㅗㄴ	머리, 모자, 선물 등을 장식할 때 쓰는 끈이나 띠.
리을	ㄹㅣㅇㅡㄹ	한글 자모 ‘ㄹ’의 이름.
리콜	ㄹㅣㅋㅗㄹ	어떤 상품에 결함이 있을 때 생산 업체에서 그 상품을 회수하여 점검이나 수리, 또는 교환을 해 주는 제도.
린스	ㄹㅣㄴㅅㅡ	샴푸로 머리를 감고 나서 헹굴 때 머릿결을 부드럽게 하고 윤기를 내기 위해 쓰는 세제. 또는 그것으로 머리를 헹구는 일.
린치	ㄹㅣㄴㅊㅣ	정당한 법적 절차 없이 폭력을 가하는 것.
림프	ㄹㅣㅁㅍㅡ	동물의 조직 세포 사이를 채우고 있으며 면역과 관련된 기능을 하는 무색의 액체.
링거	ㄹㅣㅇㄱㅓ	생리적인 기능을 유지할 수 있도록 몸속에 체액 대신 넣는 액체.
링크	ㄹㅣㅇㅋㅡ	인터넷에서 지정한 파일이나 페이지로 이동할 수 있도록 홈페이지를 서로 연결하는 것.
마감	ㅁㅏㄱㅏㅁ	어떤 일을 끝냄.
마개	ㅁㅏㄱㅏㅣ	병 등의 입구나 구멍을 막는 물건.
마귀	ㅁㅏㄱㅜㅣ	못된 귀신.
마늘	ㅁㅏㄴㅡㄹ	통통한 작은 덩이 여러 쪽이 둥근 모양을 이루고 있고, 독특한 냄새가 있어 양념과 반찬에 널리 쓰이는 채소.
마님	ㅁㅏㄴㅣㅁ	(높이는 말로) 신분이나 지위가 높은 집안의 부인.
마담	ㅁㅏㄷㅏㅁ	술집, 다방 등의 여자 주인.
마당	ㅁㅏㄷㅏㅇ	집에 딸려 있는 평평하고 비어 있는 땅.
마대	ㅁㅏㄷㅏㅣ	굵고 거친 삼실로 짠 큰 자루.
마력	ㅁㅏㄹㅕㄱ	사람의 마음을 끄는 이상한 힘.
마련	ㅁㅏㄹㅕㄴ	어떤 물건이나 상황을 준비하여 갖춤.
마름	ㅁㅏㄹㅡㅁ	(옛날에) 땅 주인을 대신하여 농지를 관리하는 사람.
마멸	ㅁㅏㅁㅕㄹ	마찰로 인해서 조금씩 닳아 없어짐.
마법	ㅁㅏㅂㅓㅂ	초자연적인 능력으로 과학적으로 설명할 수 없는 신기한 일을 하는 기술.
마술	ㅁㅏㅅㅜㄹ	빠른 손놀림이나 장치 등을 사용하여 사람의 눈을 교묘하게 속여 사람들을 즐겁게 해 주는 기술.
마약	ㅁㅏㅇㅑㄱ	먹거나 주사를 맞으면 마취나 환각을 일으켜 자주 쓰면 중독이 되는 약물.
마을	ㅁㅏㅇㅡㄹ	여러 집이 모여 있는 곳.
마음	ㅁㅏㅇㅡㅁ	사람이 태어날 때부터 지닌 성질.
마작	ㅁㅏㅈㅏㄱ	네 사람이 글씨나 숫자가 새겨진 136개의 패를 가지고 짝을 맞추어 승부를 겨루는 놀이.
마적	ㅁㅏㅈㅓㄱ	(옛날에) 말을 타고 떼지어 다니며 사람을 해치거나 재물을 빼앗는 도둑.
마중	ㅁㅏㅈㅜㅇ	역이나 공항 등에 나가서 자기를 찾아오는 사람을 맞이함.
마진	ㅁㅏㅈㅣㄴ	원가와 판매하는 가격 사이의 차액.
마찰	ㅁㅏㅊㅏㄹ	두 물체가 서로 닿아 문질러지거나 비벼짐. 또는 그렇게 함.
마취	ㅁㅏㅊㅜㅣ	약물을 사용해서 일정 시간 동안 의식이나 감각을 잃게 함.
마패	ㅁㅏㅍㅏㅣ	조선 시대에 관리가 나라의 말을 이용할 때 증표로 쓰던 둥근 패.
막료	ㅁㅏㄱㄹㅛ	조직 내에서 계획을 세우고 자문과 조언을 하며 최고 책임자를 보좌하는 사람.
막사	ㅁㅏㄱㅅㅏ	천이나 나무 등을 이용해 임시로 간단하게 지은 집.
막차	ㅁㅏㄱㅊㅏ	그날 마지막으로 운행되는 차.
막후	ㅁㅏㄱㅎㅜ	겉으로 드러나지 않고 감추어진 뒷면.
만가	ㅁㅏㄴㄱㅏ	사람의 죽음을 슬퍼하며 부르는 노래.
만고	ㅁㅏㄴㄱㅗ	아주 오랜 세월.
만기	ㅁㅏㄴㄱㅣ	정해 놓은 기한이 다 됨. 또는 그 기한.
만두	ㅁㅏㄴㄷㅜ	밀가루를 반죽하여 얇게 민 후 그 위에 다진 고기나 야채 등 여러 가지 음식을 넣고 빚은 음식.
만료	ㅁㅏㄴㄹㅛ	정해진 기한이 다 차서 끝남.
만루	ㅁㅏㄴㄹㅜ	야구에서, 일루, 이루, 삼루에 모두 주자가 있는 상태.
만류	ㅁㅏㄴㄹㅠ	어떤 일을 하지 못하게 붙잡고 말림.
만무	ㅁㅏㄴㅁㅜ	어떤 일이 일어날 가능성이 전혀 없음.
만사	ㅁㅏㄴㅅㅏ	여러 가지 온갖 일.
만수	ㅁㅏㄴㅅㅜ	오래 삶.
만유	ㅁㅏㄴㅇㅠ	우주에 있는 모든 것.
만조	ㅁㅏㄴㅈㅗ	밀물이 들어와 바다의 수면이 가장 높은 곳까지 올라오는 현상. 또는 그런 때.
만주	ㅁㅏㄴㅈㅜ	중국 북동부의 둥베이 지방. 일제 시대에 수많은 조선인들이 이주해 간 지역으로 우리 동포가 많이 살고 있다.
만추	ㅁㅏㄴㅊㅜ	늦은 가을.
맏이	ㅁㅏㄷㅇㅣ	여러 형제자매 가운데 첫 번째로 태어난 사람.
말기	ㅁㅏㄹㄱㅣ	어떤 기간의 끝이 되는 시기.
말로	ㅁㅏㄹㄹㅗ	인생의 마지막 무렵.
말미	ㅁㅏㄹㅁㅣ	일정한 직업이나 일 등에 매인 사람이 다른 일을 하기 위해 얻는 시간적 여유.
말보	ㅁㅏㄹㅂㅗ	평소에는 조용하던 사람의 입에서 막힘없이 터져 나오는 말.
말소	ㅁㅏㄹㅅㅗ	기록되어 있는 사실 등을 지워 없애 버림.
말수	ㅁㅏㄹㅅㅜ	사람이 하는 말의 수.
말초	ㅁㅏㄹㅊㅗ	사물의 맨 끝부분.
말투	ㅁㅏㄹㅌㅜ	말을 하는 버릇이나 형식.
맘마	ㅁㅏㅁㅁㅏ	(어린아이의 말로) 밥.
맘보	ㅁㅏㅁㅂㅗ	마음을 쓰는 모양.
망고	ㅁㅏㅇㄱㅗ	타원형에 과육이 노랗고 부드러우며 단맛이 나는 열대 과일.
